Eastern Date Hour,Eastern Date Hour,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
04-03-2023 10:00,EST,CAPITL,61757,58.13,1.69,-33.03,1
04-03-2023 11:00,EST,CAPITL,61757,61.79,1.59,-37.52,1
04-03-2023 12:00,EST,CAPITL,61757,57.56,1.61,-33.27,1
04-03-2023 13:00,EST,CAPITL,61757,55.83,1.53,-32.06,1
04-03-2023 14:00,EST,CAPITL,61757,57.83,1.48,-35.18,1
04-03-2023 15:00,EST,CAPITL,61757,61.8,1.38,-40.13,1
04-03-2023 16:00,EST,CAPITL,61757,70.63,1.43,-48.14,1
04-03-2023 17:00,EST,CAPITL,61757,79.36,1.66,-53.63,1
04-03-2023 18:00,EST,CAPITL,61757,81.62,1.73,-55.1,1
04-03-2023 19:00,EST,CAPITL,61757,65.71,1.71,-39.15,1
04-03-2023 20:00,EST,CAPITL,61757,54.16,1.73,-26.94,1
04-03-2023 21:00,EST,CAPITL,61757,46.49,1.78,-18.53,1
04-03-2023 22:00,EST,CAPITL,61757,36.26,1.86,-6.69,1
04-03-2023 23:00,EST,CAPITL,61757,33.84,1.68,-7.42,1
05-03-2023 00:00,EST,CAPITL,61757,38.46,1.72,-11.42,1
05-03-2023 01:00,EST,CAPITL,61757,33.85,1.6,-7.99,1
05-03-2023 02:00,EST,CAPITL,61757,28.39,1.73,0,1
05-03-2023 03:00,EST,CAPITL,61757,30.99,1.67,-3.57,1
05-03-2023 04:00,EST,CAPITL,61757,29.43,1.72,-1.59,1
05-03-2023 05:00,EST,CAPITL,61757,31.92,1.79,-3.39,1
05-03-2023 06:00,EST,CAPITL,61757,33.94,1.85,-4.51,1
05-03-2023 07:00,EST,CAPITL,61757,39.82,1.62,-13.64,1
05-03-2023 08:00,EST,CAPITL,61757,37.73,1.66,-11.33,1
05-03-2023 09:00,EST,CAPITL,61757,39.86,1.79,-12.06,1
05-03-2023 10:00,EST,CAPITL,61757,38.4,1.73,-11.52,1
05-03-2023 11:00,EST,CAPITL,61757,36.34,1.66,-9.88,1
05-03-2023 12:00,EST,CAPITL,61757,36.68,1.57,-11.62,1
05-03-2023 13:00,EST,CAPITL,61757,36.28,1.5,-12.13,1
05-03-2023 14:00,EST,CAPITL,61757,36.96,1.47,-13.18,1
05-03-2023 15:00,EST,CAPITL,61757,34.36,1.5,-10.16,1
05-03-2023 16:00,EST,CAPITL,61757,35.22,1.48,-11.01,1
05-03-2023 17:00,EST,CAPITL,61757,45,1.82,-16.09,1
05-03-2023 18:00,EST,CAPITL,61757,54.7,2.31,-17.45,1
05-03-2023 19:00,EST,CAPITL,61757,49.49,1.9,-19.29,1
05-03-2023 20:00,EST,CAPITL,61757,42.14,2,-10.73,1
05-03-2023 21:00,EST,CAPITL,61757,40,1.82,-10.63,1
05-03-2023 22:00,EST,CAPITL,61757,31.56,1.85,-2.11,1
05-03-2023 23:00,EST,CAPITL,61757,34.45,1.58,-8.58,1
06-03-2023 00:00,EST,CAPITL,61757,36.19,1.66,-10.09,1
06-03-2023 01:00,EST,CAPITL,61757,34.79,1.52,-10.52,1
06-03-2023 02:00,EST,CAPITL,61757,32.98,1.49,-9.63,1
06-03-2023 03:00,EST,CAPITL,61757,30.48,1.49,-7.12,1
06-03-2023 04:00,EST,CAPITL,61757,31.86,1.4,-9.9,1
06-03-2023 05:00,EST,CAPITL,61757,39.07,1.76,-12.82,1
06-03-2023 06:00,EST,CAPITL,61757,68.78,1.69,-45.2,1
06-03-2023 07:00,EST,CAPITL,61757,82.72,2.33,-50.48,1
06-03-2023 08:00,EST,CAPITL,61757,65.12,1.9,-37.88,1
06-03-2023 09:00,EST,CAPITL,61757,51.83,1.8,-25.02,1
06-03-2023 10:00,EST,CAPITL,61757,46.72,1.65,-22.1,1
06-03-2023 11:00,EST,CAPITL,61757,40,1.51,-17.2,1
06-03-2023 12:00,EST,CAPITL,61757,34.68,1.43,-12.83,1
06-03-2023 13:00,EST,CAPITL,61757,34.37,1.39,-12.79,1
06-03-2023 14:00,EST,CAPITL,61757,37.08,1.27,-17.7,1
06-03-2023 15:00,EST,CAPITL,61757,44,1.12,-27.16,1
06-03-2023 16:00,EST,CAPITL,61757,65.01,1.19,-47.09,1
06-03-2023 17:00,EST,CAPITL,61757,99.79,1.2,-82.11,1
06-03-2023 18:00,EST,CAPITL,61757,104.02,1.63,-80.02,1
06-03-2023 19:00,EST,CAPITL,61757,95.03,1.46,-73.9,1
06-03-2023 20:00,EST,CAPITL,61757,80.01,1.3,-61.43,1
06-03-2023 21:00,EST,CAPITL,61757,69.76,1.18,-52.37,1
06-03-2023 22:00,EST,CAPITL,61757,52.99,1.16,-35.77,1
06-03-2023 23:00,EST,CAPITL,61757,42.54,1.27,-22.26,1
07-03-2023 00:00,EST,CAPITL,61757,36.59,1.29,-16.28,1
07-03-2023 01:00,EST,CAPITL,61757,33.4,1.16,-14.88,1
07-03-2023 02:00,EST,CAPITL,61757,32.6,1.08,-15.1,1
07-03-2023 03:00,EST,CAPITL,61757,33.07,1.08,-15.6,1
07-03-2023 04:00,EST,CAPITL,61757,33.34,1.15,-14.81,1
07-03-2023 05:00,EST,CAPITL,61757,41.73,1.39,-19.91,1
07-03-2023 06:00,EST,CAPITL,61757,94.59,1.31,-74.26,1
